  1 | Divinity: Original Sin II (Score: 189 | Votes: 44 | APS: 4.30 | Bayesian Rating: 4.11)
  2 | The Legend of Heroes: Trails in the Sky the 3rd (Score: 68 | Votes: 16 | APS: 4.25 | Bayesian Rating: 3.83)
  3 | Hollow Knight (Score: 184 | Votes: 49 | APS: 3.76 | Bayesian Rating: 3.64)
  4 | Prey (Score: 165 | Votes: 45 | APS: 3.67 | Bayesian Rating: 3.55)
  5 | Nier Automata (Score: 216 | Votes: 60 | APS: 3.60 | Bayesian Rating: 3.52)
  6 | Danganronpa V3: Killing Harmony (Score: 33 | Votes: 8 | APS: 4.12 | Bayesian Rating: 3.51)
  7 | Nioh: Complete Edition / 仁王 Complete Edition (Score: 34 | Votes: 9 | APS: 3.78 | Bayesian Rating: 3.34)
  8 | Player Unknown's Battlegrounds (Score: 115 | Votes: 34 | APS: 3.38 | Bayesian Rating: 3.28)
  9 | Life is Strange: Before the Storm (Score: 55 | Votes: 16 | APS: 3.44 | Bayesian Rating: 3.23)
 10 | Heat Signature (Score: 9 | Votes: 2 | APS: 4.50 | Bayesian Rating: 3.11)
 11 | Rain World (Score: 9 | Votes: 2 | APS: 4.50 | Bayesian Rating: 3.11)
 12 | What Remains of Edith Finch (Score: 58 | Votes: 18 | APS: 3.22 | Bayesian Rating: 3.08)
 13 | OKAMI HD / 大神 絶景版 (Score: 17 | Votes: 5 | APS: 3.40 | Bayesian Rating: 2.98)
 14 | Fidel Dungeon Rescue (Score: 8 | Votes: 2 | APS: 4.00 | Bayesian Rating: 2.98)
 15 | Getting Over it with Bennett Foddy (Score: 8 | Votes: 2 | APS: 4.00 | Bayesian Rating: 2.98)
 16 | Wonder Boy: The Dragon's Trap (Score: 8 | Votes: 2 | APS: 4.00 | Bayesian Rating: 2.98)
 17 | BLUE REFLECTION / BLUE REFLECTION　幻に舞う少女の剣 (Score: 5 | Votes: 1 | APS: 5.00 | Bayesian Rating: 2.98)
 18 | Death of the Outsider (Score: 5 | Votes: 1 | APS: 5.00 | Bayesian Rating: 2.98)
 19 | Muv-Luv Alternative (Score: 5 | Votes: 1 | APS: 5.00 | Bayesian Rating: 2.98)
 20 | Red Haze (Score: 5 | Votes: 1 | APS: 5.00 | Bayesian Rating: 2.98)
 21 | Total War: Warhammer 2 (Score: 28 | Votes: 9 | APS: 3.11 | Bayesian Rating: 2.92)
 22 | Sonic Mania (Score: 36 | Votes: 12 | APS: 3.00 | Bayesian Rating: 2.88)
 23 | Unexplored (Score: 10 | Votes: 3 | APS: 3.33 | Bayesian Rating: 2.86)
 24 | Faeria (Score: 7 | Votes: 2 | APS: 3.50 | Bayesian Rating: 2.84)
 25 | Full Throttle Remastered (Score: 7 | Votes: 2 | APS: 3.50 | Bayesian Rating: 2.84)
 26 | Yooka Laylee (Score: 7 | Votes: 2 | APS: 3.50 | Bayesian Rating: 2.84)
 27 | Cosmic Star Heroine (Score: 21 | Votes: 7 | APS: 3.00 | Bayesian Rating: 2.83)
 28 | Dungeons 3 (Score: 4 | Votes: 1 | APS: 4.00 | Bayesian Rating: 2.82)
 29 | Figment (Score: 4 | Votes: 1 | APS: 4.00 | Bayesian Rating: 2.82)
 30 | Meltys Quest (Score: 4 | Votes: 1 | APS: 4.00 | Bayesian Rating: 2.82)
 31 | Rakuen (Score: 4 | Votes: 1 | APS: 4.00 | Bayesian Rating: 2.82)
 32 | Superdimension Neptune VS Sega Hard Girls | 超次元大戦ネプテューヌVSセガハードガールズ夢の合体スペシャル | 超次元大戰戰機少女VS SEGA主機娘夢幻合體特別版 (Score: 4 | Votes: 1 | APS: 4.00 | Bayesian Rating: 2.82)
 33 | Superflight (Score: 4 | Votes: 1 | APS: 4.00 | Bayesian Rating: 2.82)
 34 | Cuphead (Score: 85 | Votes: 30 | APS: 2.83 | Bayesian Rating: 2.80)
 35 | Tales of Berseria (Score: 12 | Votes: 4 | APS: 3.00 | Bayesian Rating: 2.77)
 36 | Tekken 7 (Score: 20 | Votes: 7 | APS: 2.86 | Bayesian Rating: 2.75)
 37 | Killer Instinct (Score: 9 | Votes: 3 | APS: 3.00 | Bayesian Rating: 2.74)
 38 | Umineko When They Cry - Answer Arcs (Score: 9 | Votes: 3 | APS: 3.00 | Bayesian Rating: 2.74)
 39 | Hellblade: Senua's Sacrifice (Score: 39 | Votes: 14 | APS: 2.79 | Bayesian Rating: 2.73)
 40 | Zwei: The Ilvard Insurrection (Score: 17 | Votes: 6 | APS: 2.83 | Bayesian Rating: 2.72)
 41 | Pyre (Score: 25 | Votes: 9 | APS: 2.78 | Bayesian Rating: 2.71)
 42 | Endless Space® 2 (Score: 6 | Votes: 2 | APS: 3.00 | Bayesian Rating: 2.71)
 43 | Raw Data (Score: 6 | Votes: 2 | APS: 3.00 | Bayesian Rating: 2.71)
 44 | Stories Untold (Score: 6 | Votes: 2 | APS: 3.00 | Bayesian Rating: 2.71)
 45 | Assassins Creed Origins (Score: 33 | Votes: 12 | APS: 2.75 | Bayesian Rating: 2.70)
 46 | Evil Within 2 (Score: 33 | Votes: 12 | APS: 2.75 | Bayesian Rating: 2.70)
 47 | Atelier Sophie: The Alchemist of the Mysterious Book (Score: 14 | Votes: 5 | APS: 2.80 | Bayesian Rating: 2.70)
 48 | A Hat in Time (Score: 22 | Votes: 8 | APS: 2.75 | Bayesian Rating: 2.69)
 49 | Dishonored 2: Death of the Outsider (Score: 22 | Votes: 8 | APS: 2.75 | Bayesian Rating: 2.69)
 50 | Torment: Tides of Numenera (Score: 19 | Votes: 7 | APS: 2.71 | Bayesian Rating: 2.66)
 51 | Thimbleweed Park (Score: 11 | Votes: 4 | APS: 2.75 | Bayesian Rating: 2.66)
 52 | Black: The Fall (Score: 3 | Votes: 1 | APS: 3.00 | Bayesian Rating: 2.66)
 53 | BlazBlue Centralfiction (Score: 3 | Votes: 1 | APS: 3.00 | Bayesian Rating: 2.66)
 54 | Darkwood (Score: 3 | Votes: 1 | APS: 3.00 | Bayesian Rating: 2.66)
 55 | Finding Paradise (Score: 3 | Votes: 1 | APS: 3.00 | Bayesian Rating: 2.66)
 56 | Hand of Fate 2 (Score: 3 | Votes: 1 | APS: 3.00 | Bayesian Rating: 2.66)
 57 | Injustice 2 (Score: 3 | Votes: 1 | APS: 3.00 | Bayesian Rating: 2.66)
 58 | Stardew Valley (Score: 3 | Votes: 1 | APS: 3.00 | Bayesian Rating: 2.66)
 59 | The End is Nigh (Score: 3 | Votes: 1 | APS: 3.00 | Bayesian Rating: 2.66)
 60 | The Long Dark (Score: 3 | Votes: 1 | APS: 3.00 | Bayesian Rating: 2.66)
 61 | Doki Doki Literature Club! (Score: 32 | Votes: 12 | APS: 2.67 | Bayesian Rating: 2.65)
 62 | Night in the Woods (Score: 24 | Votes: 9 | APS: 2.67 | Bayesian Rating: 2.64)
 63 | ELEX (Score: 16 | Votes: 6 | APS: 2.67 | Bayesian Rating: 2.64)
 64 | Bayonetta (Score: 29 | Votes: 11 | APS: 2.64 | Bayesian Rating: 2.62)
 65 | Gorogoa (Score: 8 | Votes: 3 | APS: 2.67 | Bayesian Rating: 2.62)
 66 | Vanquish (Score: 8 | Votes: 3 | APS: 2.67 | Bayesian Rating: 2.62)
 67 | Wolfenstein 2: The New Colossus (Score: 39 | Votes: 15 | APS: 2.60 | Bayesian Rating: 2.60)
 68 | Resident Evil VII Biohazard (Score: 57 | Votes: 22 | APS: 2.59 | Bayesian Rating: 2.59)
 69 | EVERSPACE™ (Score: 5 | Votes: 2 | APS: 2.50 | Bayesian Rating: 2.57)
 70 | LEGO City Undercover (Score: 5 | Votes: 2 | APS: 2.50 | Bayesian Rating: 2.57)
 71 | SteamWorld Dig 2 (Score: 15 | Votes: 6 | APS: 2.50 | Bayesian Rating: 2.55)
 72 | ARK: Survival Evolved (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 73 | Battlerite (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 74 | Bleed 2 (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 75 | Death Coming (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 76 | Friday the 13th: The Game (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 77 | Naruto Shippuden: Ultimate Ninja Storm 2 (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 78 | Paradigm (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 79 | Pictopix (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 80 | Rising Storm 2: Vietnam (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 81 | Steel Division: Normandy 44 (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 82 | Tacoma (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 83 | Telltale's Guardians of the Galaxy (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 84 | The Darkside Detective (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 85 | The Infectious Madness of Doctor Dekker (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 86 | To The Top (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 87 | Tom Clancy's Ghost Recon Wildlands (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 88 | Turok 2 (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 89 | VRChat (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 90 | West of Loathing (Score: 2 | Votes: 1 | APS: 2.00 | Bayesian Rating: 2.51)
 91 | Snake Pass (Score: 7 | Votes: 3 | APS: 2.33 | Bayesian Rating: 2.50)
 92 | Zero Escape: The Nonary Games (Score: 7 | Votes: 3 | APS: 2.33 | Bayesian Rating: 2.50)
 93 | Slime Rancher (Score: 12 | Votes: 5 | APS: 2.40 | Bayesian Rating: 2.50)
 94 | Opus Magnum (Score: 9 | Votes: 4 | APS: 2.25 | Bayesian Rating: 2.45)
 95 | RiME (Score: 4 | Votes: 2 | APS: 2.00 | Bayesian Rating: 2.44)
 96 | Marvel Vs. Capcom Infinite (Score: 6 | Votes: 3 | APS: 2.00 | Bayesian Rating: 2.39)
 97 | Sniper Elite 4 (Score: 6 | Votes: 3 | APS: 2.00 | Bayesian Rating: 2.39)
 98 | AER Memories of Old (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
 99 | Cluckle's Adventure (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
100 | Fallout 4 VR (Score: 1 | Votes: 1 | APS: 1.00 | Bayesian Rating: 2.35)
